stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000560,2017-06-29,商贸零售,一般零售,百货
000560,2019-07-24,房地产,房地产开发,住宅开发
000560,2021-07-30,房地产,房地产服务,房产租赁经纪
000561,1994-05-09,,,
000561,2007-07-02,家用电器,,
000561,2010-06-01,,,
000561,2014-01-01,通信,,
000561,2019-07-24,国防军工,航空装备Ⅱ,航空装备Ⅲ
000562,1994-02-02,,,
000562,2014-01-01,非银金融,证券Ⅱ,证券Ⅲ
000563,1994-01-10,,,
000563,2014-01-01,非银金融,,
000563,2021-07-30,非银金融,多元金融,信托
000564,1994-01-10,商贸零售,,
000564,2014-01-01,商贸零售,一般零售,百货
000565,1994-04-08,基础化工,化学制品,涂料油墨
000565,2008-06-02,基础化工,化学制品,其他化学制品
000565,2011-01-10,基础化工,化学制品,涂料油墨
000566,1994-05-25,医药生物,,
000566,2008-01-02,医药生物,化学制药,化学制剂
000567,1994-05-25,食品饮料,,
000567,2006-09-01,房地产,房地产开发,住宅开发
000567,2018-07-13,非银金融,,
000567,2021-07-30,非银金融,多元金融,资产管理
000568,1994-05-09,食品饮料,,
000568,2021-07-30,食品饮料,白酒Ⅱ,白酒Ⅲ
000569,1994-04-25,钢铁,,
000570,1994-07-01,,,
000570,2014-01-01,机械设备,,
000570,2021-07-30,汽车,汽车零部件,底盘与发动机系统
000571,1994-05-25,,,
000571,2011-01-10,,,
000571,2021-07-30,煤炭,煤炭开采,动力煤
000572,1994-08-08,房地产,房地产开发,住宅开发
000572,2005-09-01,,,
000572,2006-09-01,,,
000572,2014-01-01,汽车,,
000572,2021-07-30,汽车,乘用车,综合乘用车
000573,1994-08-15,房地产,房地产开发,住宅开发
000576,1994-09-07,食品饮料,,
000576,2011-10-10,农林牧渔,农产品加工,其他农产品加工
000576,2013-01-01,轻工制造,,
000576,2018-06-12,农林牧渔,农产品加工,其他农产品加工
000576,2020-06-22,国防军工,地面兵装Ⅱ,地面兵装Ⅲ
000578,1995-01-08,商贸零售,贸易Ⅱ,贸易Ⅲ
000578,2000-09-01,,,
000578,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000578,2009-06-01,基础化工,,
000581,1998-09-24,,,
000581,2011-10-10,,,
000581,2014-01-01,汽车,,
000581,2021-07-30,汽车,汽车零部件,底盘与发动机系统
000582,1995-11-02,交通运输,,
000582,2021-07-30,交通运输,航运港口,港口
000583,1995-11-01,,,
000584,1995-11-28,综合,综合Ⅱ,综合Ⅲ
000584,2007-07-02,基础化工,化学纤维,其他化学纤维
000584,2008-06-02,基础化工,化学纤维,氨纶
000584,2018-07-13,机械设备,专用设备,其他专用设备
000584,2021-07-30,机械设备,自动化设备,机器人
000585,1995-12-13,,,
000585,2014-01-01,电力设备,,
000585,2021-07-30,电力设备,电网设备,输变电设备
000586,1995-12-20,商贸零售,贸易Ⅱ,贸易Ⅲ
000586,2004-07-01,,,
000586,2007-07-02,,,
000586,2014-01-01,通信,,
000586,2021-07-30,通信,通信设备,通信线缆及配套
000587,1996-04-25,轻工制造,,
000587,2007-07-02,轻工制造,,
000587,2012-01-08,轻工制造,,
000587,2021-07-30,纺织服饰,饰品,钟表珠宝
000588,1996-01-23,农林牧渔,渔业,水产养殖
000589,1996-03-08,基础化工,,
000589,2021-07-30,汽车,汽车零部件,轮胎轮毂
000590,1996-01-19,医药生物,中药Ⅱ,中药Ⅲ
000591,1996-02-08,医药生物,,
000591,2017-05-26,电力设备,,
000591,2019-07-24,公用事业,,
000591,2021-07-30,公用事业,电力,光伏发电
000592,1996-03-27,房地产,房地产开发,住宅开发
000592,2009-10-09,轻工制造,,
000592,2014-01-01,农林牧渔,林业Ⅱ,林业Ⅲ
000593,1996-03-12,商贸零售,,
000593,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000593,2015-07-01,公用事业,燃气Ⅱ,燃气Ⅲ
000593,2015-10-26,综合,综合Ⅱ,综合Ⅲ
000593,2018-06-19,公用事业,燃气Ⅱ,燃气Ⅲ
000594,1996-03-20,,,
000594,2007-01-02,交通运输,,
000595,1996-04-19,,,
000595,2014-01-01,机械设备,,
000595,2021-07-30,机械设备,通用设备,金属制品
000596,1996-09-27,食品饮料,,
000596,2021-07-30,食品饮料,白酒Ⅱ,白酒Ⅲ
000597,1996-05-23,医药生物,化学制药,原料药
000597,2019-07-24,医药生物,化学制药,化学制剂
000598,1996-05-29,基础化工,,
000598,2009-01-01,公用事业,,
000598,2021-07-30,环保,环境治理,水务及水治理
000599,1996-04-10,纺织服饰,,
000599,2003-05-01,基础化工,,
000599,2021-07-30,汽车,汽车零部件,轮胎轮毂
000600,1996-06-06,社会服务,,
000600,2006-09-07,公用事业,电力,火力发电
000601,1996-08-30,公用事业,电力,火力发电
000601,2017-05-26,公用事业,电力,水力发电
000602,1996-08-06,社会服务,,
000602,2002-09-01,,,
000602,2007-07-02,有色金属,,
000602,2013-07-01,公用事业,电力,火力发电
000603,1996-08-23,医药生物,,
000603,2012-07-02,有色金属,,
000603,2014-01-01,有色金属,工业金属,铅锌
000605,1996-08-01,,,
000605,2001-09-01,医药生物,,
000605,2015-07-01,公用事业,,
000605,2021-07-30,环保,环境治理,水务及水治理
